X1_ACTUALPOSITION,X1_ACTUALVELOCITY,X1_ACTUALACCELERATION,X1_COMMANDPOSITION,X1_COMMANDVELOCITY,X1_COMMANDACCELERATION,X1_CURRENTFEEDBACK,X1_DCBUSVOLTAGE,X1_OUTPUTCURRENT,X1_OUTPUTVOLTAGE,X1_OUTPUTPOWER,Y1_ACTUALPOSITION,Y1_ACTUALVELOCITY,Y1_ACTUALACCELERATION,Y1_COMMANDPOSITION,Y1_COMMANDVELOCITY,Y1_COMMANDACCELERATION,Y1_CURRENTFEEDBACK,Y1_DCBUSVOLTAGE,Y1_OUTPUTCURRENT,Y1_OUTPUTVOLTAGE,Y1_OUTPUTPOWER,Z1_ACTUALPOSITION,Z1_ACTUALVELOCITY,Z1_ACTUALACCELERATION,Z1_COMMANDPOSITION,Z1_COMMANDVELOCITY,Z1_COMMANDACCELERATION,Z1_CURRENTFEEDBACK,Z1_DCBUSVOLTAGE,Z1_OUTPUTCURRENT,Z1_OUTPUTVOLTAGE,S1_ACTUALPOSITION,S1_ACTUALVELOCITY,S1_ACTUALACCELERATION,S1_COMMANDPOSITION,S1_COMMANDVELOCITY,S1_COMMANDACCELERATION,S1_CURRENTFEEDBACK,S1_DCBUSVOLTAGE,S1_OUTPUTCURRENT,S1_OUTPUTVOLTAGE,S1_OUTPUTPOWER,S1_SYSTEMINERTIA,M1_SEQUENCE_NUMBER,M1_CURRENT_FEEDRATE,FEEDRATE,CLAMP_PRESSURE,TARGET,MACHINING_PROCESS_Layer 1 Down_True,MACHINING_PROCESS_Layer 1 Up_True,MACHINING_PROCESS_Layer 2 Down_True,MACHINING_PROCESS_Layer 2 Up_True,MACHINING_PROCESS_Layer 3 Down_True,MACHINING_PROCESS_Layer 3 Up_True,MACHINING_PROCESS_Prep_True,MACHINING_PROCESS_Repositioning_True,MACHINING_PROCESS_Starting_True,MACHINING_PROCESS_end_True,M1_CURRENT_PROGRAM_NUMBER_1.0_True,M1_CURRENT_PROGRAM_NUMBER_4.0_True
0.3684210526315792,0.4869428185502026,0.5625714285714286,0.3684210526315792,0.48045454545454547,0.3542980243799916,0.5522138680033417,0.21606837606837606,0.6363636363636331,0.13016129032258064,0.38495536916624984,0.20560747663551404,0.44297235023041476,0.4145622895622896,0.20560747663551404,0.44722969941677887,0.43475609756097566,0.3748553111922358,0.3918367346938776,0.42857142857142705,0.23804878048780487,0.4706422895508435,0.0021857923497267673,0.5833333333333334,0.5,0.0021857923497267673,0.0,0.0,0.0,0.0,0.0,0.0,0.317906976744186,0.9925745790714511,0.5225,0.317906976744186,1.0,0.0,0.387519438837971,0.3401869158878505,0.7391304347826093,0.8923076923076924,0.3471826946886713,0.0,0.9111111111111111,0.0,0.0,1.0,1,False,False,False,False,False,False,False,False,False,False,True,False
1.0,0.45925258892390813,0.5089285714285714,1.0,0.4545454545454546,0.4879676334594368,0.4757936507936508,0.07829059829059828,0.9090909090909065,0.009838709677419354,0.37677176715016736,1.0,0.511520737327189,0.5197811447811448,1.0,0.5095895020188426,0.48800813008130084,0.49601104086902326,0.0380952380952381,0.7142857142857153,0.01713170731707317,0.3763811456252921,0.9999999999999999,0.5833333333333334,0.5625,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.28441860465116275,0.0012623215578533107,0.49833333333333335,0.28441860465116275,0.0,0.2,0.120927770241207,1.0093457943925235e-19,0.9420289855072461,0.0,0.005742404874153257,0.0,0.0,1.0,1.0,0.3333333333333335,1,False,False,False,False,False,False,False,False,False,False,True,False
0.3157894736842106,0.46262944619540747,0.6071428571428571,0.3157894736842106,0.4545454545454546,0.4879676334594368,0.529030910609858,0.19179487179487176,0.6363636363636331,0.05741935483870968,0.3766448001231195,0.0700934579439253,0.5040322580645161,0.7438973063973064,0.07126168224299056,0.6329632122027815,1.0,0.49247618199626036,0.05306122448979592,0.5,0.056,0.3772787149959631,0.02404371584699455,0.625,0.5625,0.02404371584699455,0.0,0.0,0.0,0.0,0.0,0.0,0.0720930232558139,0.9907182238393138,0.4785333333333333,0.0720930232558139,1.0,0.0,0.39016642954041614,0.3693457943925234,0.7391304347826093,0.8923076923076924,0.3762827193887723,0.0,0.14814814814814814,0.06382978723404255,0.1764705882352941,0.3333333333333335,1,False,False,False,False,False,False,False,False,False,False,True,False
1.0,0.45925258892390813,0.5,1.0,0.4545454545454546,0.4879676334594368,0.47426900584795323,3.418803418803588e-21,0.7272727272727266,0.0,0.37659978454080256,1.0,0.5109447004608295,0.49347643097643096,1.0,0.5095895020188426,0.48800813008130084,0.4989048170243077,0.0,0.928571428571427,0.0,0.37641290953129647,0.9999999999999999,0.625,0.5625,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.23023255813953486,0.0012066309008891942,0.4952,0.23023255813953486,0.0,0.2,0.08867418853191275,0.0,0.9710144927536231,0.0,0.005770922898359356,0.0,0.014814814814814815,1.0,1.0,1.0,0,False,True,False,False,False,False,False,False,False,False,True,False
0.3684210526315792,0.46319225574065737,0.6338571428571429,0.3684210526315792,0.4545454545454546,0.4879676334594368,0.5641186299081036,0.2215384615384615,0.6363636363636331,0.023548387096774193,0.3774019853026047,0.19158878504672883,0.43790322580645163,0.4013047138047138,0.19158878504672883,0.4422947510094213,0.48800813008130084,0.3967589707060814,0.26068027210884354,0.42857142857142705,0.192,0.43994072153996516,0.01311475409836066,0.5416666666666667,0.4375,0.01311475409836066,0.0,0.0,0.0,0.0,0.0,0.0,0.06744186046511624,0.9925745790714511,0.5041666666666667,0.06744186046511624,1.0,0.4,0.38222545743308073,0.29869158878504676,0.7391304347826093,0.8846153846153847,0.30256265681518313,0.0,0.014814814814814815,0.0,0.0,0.0,1,True,False,False,False,False,False,False,False,False,False,True,False
1.0,0.45925258892390813,0.5,1.0,0.4545454545454546,0.4879676334594368,0.48053467000835426,3.418803418803588e-21,0.7272727272727266,0.0,0.3766448001231195,1.0,0.5109447004608295,0.49347643097643096,1.0,0.5095895020188426,0.48800813008130084,0.49055293384382515,0.0,0.928571428571427,0.0,0.3763652105553903,0.9999999999999999,0.5416666666666667,0.375,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.23023255813953486,0.0012948077744157121,0.50125,0.23023255813953486,0.0,0.2,0.0894682857426463,0.0,0.9710144927536231,0.0,0.005730396263960349,0.0,0.014814814814814815,1.0,1.0,1.0,0,True,False,False,False,False,False,False,False,False,False,True,False
0.07017543859649145,0.3935164340387213,0.5892857142857143,0.07017543859649145,0.3863636363636364,0.4879676334594368,0.3961988304093568,0.2294017094017094,0.6363636363636331,0.1406451612903226,0.4045005963602785,0.0,0.5126728110599078,0.5723905723905723,0.0,0.5095895020188426,0.48800813008130084,0.4466209598432909,0.10285714285714287,0.5,0.0608780487804878,0.37641290953129647,0.010928961748633892,0.5416666666666667,0.375,0.010928961748633892,0.0,0.0,0.0,0.0,0.0,0.0,0.6932558139534883,0.9925745790714511,0.624,0.6934883720930233,1.0,0.2,0.41266585051119997,0.331588785046729,0.6811594202898554,0.9,0.3374826864553043,0.0,0.6444444444444445,0.0,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False
0.0,0.46206663665015757,0.5804285714285714,0.0,0.4545454545454546,0.4879676334594368,0.4014202172096909,0.19487179487179485,0.6363636363636331,0.025967741935483873,0.3793072602054557,0.06308411214953258,0.5109447004608295,0.5066287878787878,0.06308411214953258,0.5095895020188426,0.48800813008130084,0.5306740272460155,0.056054421768707494,0.5,0.03297560975609756,0.37662643946798113,0.30819672131147546,0.5833333333333334,0.5,0.30819672131147546,0.0,0.0,0.0,0.0,0.0,0.0,0.2725581395348837,0.0012994486624960553,0.5,0.2725581395348837,0.0,0.2,0.1040929093736558,1.0429906542056076e-19,0.8550724637681153,0.0,0.005736138668834502,0.0,0.0,1.0,0.5294117647058822,1.0,1,False,False,False,True,False,False,False,False,False,False,True,False
0.17543859649122817,0.45981539846915803,0.5178571428571429,0.17543859649122817,0.4545454545454546,0.4879676334594368,0.48746449456975777,0.09059829059829058,0.6363636363636331,0.034193548387096775,0.3771749836481859,0.007009345794392496,0.511520737327189,0.5197811447811448,0.007009345794392496,0.5095895020188426,0.48800813008130084,0.5189208440922447,0.05578231292517008,0.42857142857142705,0.02126829268292683,0.37641290953129647,0.1497267759562842,0.0,0.0,0.14426229508196725,0.0,0.0,0.0,0.0,0.0,0.0,0.4223255813953488,0.9925745790714511,0.5796666666666667,0.42255813953488375,1.0,0.2,0.3292856433841776,0.32672897196261685,0.6231884057971016,0.9,0.3336026831619575,0.0,0.6962962962962963,1.0,0.1764705882352941,0.3333333333333335,0,True,False,False,False,False,False,False,False,False,False,True,False
1.0,0.45925258892390813,0.5,1.0,0.4545454545454546,0.4879676334594368,0.441311612364244,0.0,0.45454545454545325,0.0,0.3765647724212227,1.0,0.5109447004608295,0.49347643097643096,1.0,0.5095895020188426,0.48800813008130084,0.5051909892262488,2.721088435374314e-21,0.5714285714285694,0.0,0.37670823949347726,0.9999999999999999,0.5833333333333334,0.5,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.7104651162790698,0.0012576806697729677,0.49623333333333336,0.7104651162790698,0.0,0.2,0.11232505045826024,1.0392523364485982e-19,0.7391304347826093,0.0,0.005741372793277227,0.0,0.0,1.0,1.0,1.0,0,False,False,False,False,False,False,False,True,False,False,False,False
